,category,strain
0,hybrid,100 og
1,hybrid,98 white widow
2,sativa,1024
3,hybrid,12 year og
4,hybrid,13 dawgs
5,hybrid,22
6,hybrid,24k gold
7,indica,3 bears og
8,hybrid,100 og
9,hybrid,98 white widow
10,sativa,1024
11,hybrid,12 year og
12,hybrid,13 dawgs
13,hybrid,22
14,hybrid,24k gold
15,indica,3 bears og
16,hybrid,3 kings
17,indica,303 og
18,sativa,3d cbd
19,indica,3x crazy
20,hybrid,3rd coast panama chunk
21,hybrid,501st og
22,hybrid,541 kush
23,indica,5th element
24,hybrid,707 headband
25,hybrid,707 truthband
26,indica,8 ball kush
27,indica,818 og
28,indica,831 og
29,hybrid,840
30,indica,9 pound hammer
31,indica,91 krypt
32,hybrid,92 og
33,indica,999
34,indica,a 10
35,hybrid,a dub
36,hybrid,a train
37,hybrid,acdc
38,hybrid,ak 47
39,hybrid,ak 48
40,sativa,ak 49
41,hybrid,aberdeen
42,indica,abusive og
43,sativa,acapulco gold
44,indica,ace killer og
45,indica,ace of spades
46,sativa,aceh
47,hybrid,acid
48,sativa,acid dough
49,hybrid,afcrack
50,indica,afghan big bud
51,sativa,afghan cow
52,hybrid,afghan diesel
53,indica,afghan hawaiian
54,hybrid,afghan haze
55,indica,afghan kush
56,indica,afghan skunk
57,indica,afghan sour kush
58,hybrid,afghan widow
59,indica,afghani
60,indica,afgahni bullrider
61,indica,afghani cbd
62,hybrid,afghani krush
63,hybrid,afghanica
64,indica,afghan skunk
65,indica,afghan sour kush
66,hybrid,afghan widow
67,indica,afghani
68,indica,afgahni bullrider
69,indica,afghani cbd
70,hybrid,afghani krush
71,hybrid,afghanica
72,indica,afghanimal
73,indica,afghooey
74,indica,afgoo
75,indica,afgooey
76,indica,afkansastan
77,hybrid,afpak
78,sativa,african
79,sativa,afrikaner
80,hybrid,afrodite
81,hybrid,afternoon delight
82,hybrid,afwreck
83,sativa,agape
84,hybrid,agent orange
85,hybrid,agent tangie
86,hybrid,agharta
87,indica,air jordan og
88,hybrid,als dream
89,sativa,alaska
90,hybrid,alaska thunder grape
91,sativa,alaskan ice
92,sativa,alaskan thunder fuck
93,hybrid,albert walker
94,hybrid,alchemy
95,hybrid,alf
96,sativa,alice in wonderland
97,hybrid,alien abduction
98,hybrid,alien apparition
99,hybrid,alien asshat
100,hybrid,alien breath
101,indica,alien bubba
102,indica,alien dawg
103,sativa,alien dutchess
104,hybrid,alien hallucination
105,hybrid,alien inferno
106,indica,alien kush
107,hybrid,alien og
108,hybrid,alien reunion
109,indica,alien rift
110,hybrid,alien rock candy
111,hybrid,alien sour apple
112,sativa,alien stardawg
113,indica,alien technology
114,hybrid,alien walker
115,indica,aliens on moonshine
116,hybrid,alion
117,indica,allen iverson og
118,sativa,allen wrench
119,hybrid,alley cat kush
120,sativa,alien stardawg
121,indica,alien technology
122,hybrid,alien walker
123,indica,aliens on moonshine
124,hybrid,alion
125,indica,allen iverson og
126,sativa,allen wrench
127,hybrid,alley cat kush
128,indica,allkush
129,sativa,aloha
130,hybrid,aloha grape stomper
131,hybrid,aloha limone
132,hybrid,alohaberry
133,sativa,alpha blue
134,sativa,alpha cow
135,sativa,alpha express
136,hybrid,alpha og
137,hybrid,alpine blue
138,indica,alpine star
139,hybrid,altoyd
140,hybrid,ambrosia
141,hybrid,ambrosia 8a5e98966f6047318a0ff1c3c3ad5075
142,indica,american beauty
143,hybrid,american dream
144,indica,american kush
145,hybrid,american pie
146,indica,americano
147,hybrid,amethyst
148,hybrid,amethyst bud
149,hybrid,amherst sour diesel
150,sativa,amnesi k lemon
151,sativa,amnesia
152,sativa,amnesia ganja haze
153,sativa,amnesia haze
154,sativa,amnesia og
155,indica,ancient kush
156,indica,ancient og
157,indica,anesthesia
158,indica,angel og
159,hybrid,angelica
160,hybrid,animal blues
161,hybrid,animal cookies
162,hybrid,animal gas
163,hybrid,animal mint
164,hybrid,animal sherbert
165,indica,anonymous og
166,indica,anubis
167,hybrid,ape shit
168,hybrid,apollo 11
169,hybrid,apollo 13
170,hybrid,apollo 13 haze
171,hybrid,apollo haze
172,hybrid,appalachia
173,sativa,appalachian power
174,hybrid,apple jack
175,hybrid,apple kush
176,hybrid,apollo 11
177,hybrid,apollo 13
178,hybrid,apollo 13 haze
179,hybrid,apollo haze
180,hybrid,appalachia
181,sativa,appalachian power
182,hybrid,apple jack
183,hybrid,apple kush
184,indica,appleberry
185,hybrid,apricot jelly
186,sativa,arabian gold
187,hybrid,arctic sun
188,hybrid,arcticblue
189,hybrid,area 51
190,hybrid,argvana heat
191,indica,argyle
192,sativa,arjans strawberry haze
193,sativa,arjans ultra haze 1
194,hybrid,armageddon
195,hybrid,armagnac
196,hybrid,ash
197,sativa,asian fantasy
198,hybrid,aspen og
199,hybrid,astral works
200,sativa,astroboy
201,indica,athabasca
202,hybrid,atmosphere
203,hybrid,atomic
204,hybrid,atomic bomb
205,hybrid,atomic goat
206,hybrid,atomic northern lights
207,sativa,atomical haze
208,indica,aurora borealis
209,indica,aurora indica
210,hybrid,avalon
211,hybrid,avi
212,hybrid,avi dekel
213,indica,ayahuasca purple
214,hybrid,aymi
215,hybrid,azure haze
216,indica,b 52
217,hybrid,b witched
218,hybrid,b witched
219,indica,bb king
220,hybrid,b4
221,hybrid,bc big bud
222,hybrid,bc roadkill
223,indica,bc sweet tooth
224,hybrid,bh
225,hybrid,bog bubble
226,hybrid,bsc
227,hybrid,bad azz kush
228,indica,bakerstreet
229,hybrid,balmoral
230,hybrid,banana bread
231,indica,banana candy
232,hybrid,bh
233,hybrid,bog bubble
234,hybrid,bsc
235,hybrid,bad azz kush
236,indica,bakerstreet
237,hybrid,balmoral
238,hybrid,banana bread
239,indica,banana candy
240,hybrid,banana cream og
241,hybrid,banana diesel
242,indica,banana hammock r1
243,hybrid,banana kush
244,hybrid,banana mango
245,hybrid,banana og
246,hybrid,banana peel
247,hybrid,banana punch 9
248,hybrid,banana split
249,hybrid,bananas
250,hybrid,bandana
251,sativa,bangi haze
252,hybrid,bango
253,hybrid,banjo
254,indica,barbara bud
255,hybrid,batgirl
256,indica,batman og
257,sativa,bay 11
258,sativa,bay dream
259,hybrid,bay lotus
260,hybrid,bay platinum cookies
261,hybrid,bazooka joe g
262,hybrid,bear dance
263,indica,beast mode 20
264,hybrid,beast mode og
265,indica,beckwourth bud
266,hybrid,bedford glue
267,indica,bedica
268,sativa,bediol
269,indica,bell ringer
270,hybrid,belladonna
271,sativa,berkeley
272,hybrid,bermuda sour
273,indica,berries crme
274,hybrid,berry bomb
275,hybrid,berry larry
276,indica,berry noir
277,hybrid,berry og
278,indica,berry white
279,hybrid,berts cookie dough
280,sativa,bertberry cheesecake
281,hybrid,best friend og
282,hybrid,bettie page
283,hybrid,bianca
284,hybrid,biddy early
285,hybrid,big band
286,indica,big bang
287,hybrid,big bomb
288,sativa,bertberry cheesecake
289,hybrid,best friend og
290,hybrid,bettie page
291,hybrid,bianca
292,hybrid,biddy early
293,hybrid,big band
294,indica,big bang
295,hybrid,big bomb
296,indica,big bud
297,hybrid,big budda cheese
298,indica,big bull
299,hybrid,big holy nina
300,hybrid,big kush
301,indica,big mac
302,hybrid,big skunk korean
303,hybrid,big sky og
304,hybrid,big smooth
305,sativa,big sur holy bud
306,hybrid,big tooth
307,indica,big white
308,indica,big wreck
309,indica,biker kush
310,hybrid,biker leblanc
311,hybrid,bingo pajamas
312,hybrid,bio diesel
313,hybrid,bio jesus
314,indica,biochem
315,hybrid,biohazard
316,sativa,birds eye
317,hybrid,birds of paradise
318,hybrid,birthday cake kush
319,indica,black 84
320,indica,black afghan
321,hybrid,black betty
322,indica,black bubba
323,indica,black cheese
324,hybrid,black cherry cheesecake
325,indica,black cherry og
326,hybrid,black cherry pie
327,hybrid,black cherry soda
328,indica,black dog
329,hybrid,black dhalia
