,strain,name
2216,indica,og eddy lepp
2217,hybrid,og glue sniffer
2218,hybrid,og kush
2219,indica,og la affie
2220,hybrid,og lime killer
2221,indica,og los angeles kush
2222,hybrid,og poison
2223,hybrid,og purple fire thai
2224,hybrid,og ringo
2225,hybrid,og shark
2226,hybrid,og skunk
2227,hybrid,og sour diesel
2228,hybrid,og strawberry
2229,hybrid,og strawberry star killer
2230,hybrid,og tonic
2231,hybrid,og wreck
2232,indica,ogs pearl
2233,hybrid,ogkb
2234,hybrid,ogkz
2235,hybrid,ogiesel
2236,indica,obama kush
2237,sativa,ocean view
2238,hybrid,odyssey
2239,hybrid,ogre
2240,indica,ogre berry
2241,hybrid,ol betsy
2242,hybrid,old dirty biker
2243,hybrid,old lyme connecticut og
2244,sativa,old mother sativa
2245,hybrid,old school og
2246,hybrid,old toby
2247,sativa,oldtimers haze
2248,indica,ogre berry
2249,hybrid,ol betsy
2250,hybrid,old dirty biker
2251,hybrid,old lyme connecticut og
2252,sativa,old mother sativa
2253,hybrid,old school og
2254,hybrid,old toby
2255,sativa,oldtimers haze
2256,hybrid,omega
2257,hybrid,omega dawg
2258,hybrid,one to one
2259,indica,opal og kush
2260,hybrid,opium
2261,hybrid,or
2262,indica,orange afghani
2263,hybrid,orange blossom
2264,hybrid,orange bud
2265,hybrid,orange cookies
2266,hybrid,orange cream
2267,hybrid,orange creamsicle
2268,hybrid,orange crush
2269,hybrid,orange diesel
2270,hybrid,orange dream
2271,sativa,orange durban
2272,hybrid,orange fanta
2273,hybrid,orange harambe
2274,hybrid,orange haze
2275,hybrid,orange hill special
2276,hybrid,orange juice
2277,indica,orange kush
2278,hybrid,orange kush breath
2279,hybrid,orange poison
2280,indica,orange romulan
2281,hybrid,orange skunk
2282,hybrid,orange snow cone
2283,hybrid,orange turbo
2284,hybrid,orange velvet
2285,sativa,orange wreck
2286,hybrid,orangutang
2287,indica,oregon diesel
2288,hybrid,oregon pineapple
2289,sativa,oregon pinot noir
2290,hybrid,organic diesel
2291,hybrid,orient express
2292,hybrid,original glue
2293,indica,ortega
2294,hybrid,oteils egyptian kush
2295,sativa,outer space
2296,sativa,outlaw
2297,hybrid,ozma
2298,indica,p 51
2299,hybrid,p 91
2300,hybrid,pb souffl
2301,hybrid,ptsd
2302,indica,pvc og
2303,indica,pacific blue
2304,sativa,outlaw
2305,hybrid,ozma
2306,indica,p 51
2307,hybrid,p 91
2308,hybrid,pb souffl
2309,hybrid,ptsd
2310,indica,pvc og
2311,indica,pacific blue
2312,hybrid,pacific frost
2313,sativa,pagoda
2314,indica,pakistan valley kush
2315,indica,pakistani chitral kush
2316,indica,palm tree cbd
2317,indica,pamelina
2318,hybrid,pan jam
2319,sativa,panama punch
2320,sativa,panama red
2321,hybrid,panda og
2322,sativa,pandoras box
2323,hybrid,panzer kush
2324,indica,papas og
2325,indica,papaya
2326,indica,paris og
2327,indica,paris xxx
2328,hybrid,patti cake
2329,hybrid,peach cobbler
2330,hybrid,peach crescendo f 1
2331,hybrid,peach puree
2332,hybrid,peaches and cream
2333,hybrid,peachy mack
2334,hybrid,pearl scout cookies
2335,hybrid,peles fire og
2336,indica,pennywise
2337,hybrid,peppermint cookies
2338,hybrid,perfect purple
2339,hybrid,permafrost
2340,indica,pestilence
2341,indica,petrolia headstash
2342,indica,peyote cookies
2343,hybrid,peyton manning
2344,indica,pez
2345,indica,phantom arrow
2346,hybrid,phantom cookies
2347,indica,phantom og
2348,indica,phatt frutty
2349,hybrid,pheno 51
2350,indica,phishhead kush
2351,hybrid,pie face og
2352,hybrid,pie hoe
2353,hybrid,pine cone
2354,hybrid,pine queen dream
2355,indica,pine tar kush
2356,hybrid,pineapple
2357,hybrid,pineapple calyx
2358,hybrid,pineapple chunk
2359,hybrid,pineapple cookies
2360,hybrid,pie hoe
2361,hybrid,pine cone
2362,hybrid,pine queen dream
2363,indica,pine tar kush
2364,hybrid,pineapple
2365,hybrid,pineapple calyx
2366,hybrid,pineapple chunk
2367,hybrid,pineapple cookies
2368,hybrid,pineapple diesel
2369,hybrid,pineapple dog shit
2370,hybrid,pineapple express
2371,sativa,pineapple fields
2372,sativa,pineapple haze
2373,sativa,pineapple jack
2374,hybrid,pineapple kush
2375,hybrid,pineapple mayhem
2376,sativa,pineapple og
2377,sativa,pineapple punch
2378,hybrid,pineapple purple skunk
2379,sativa,pineapple purps
2380,hybrid,pineapple sage 0c9f3c369b6a422f94ef911b8ba67373
2381,sativa,pineapple sage
2382,hybrid,pineapple skunk
2383,sativa,pineapple super silver haze
2384,sativa,pineapple thai
2385,hybrid,pineapple trainwreck
2386,hybrid,pineapple upside down cake
2387,hybrid,pineapple zest
2388,hybrid,pineberry
2389,hybrid,pinewarp
2390,indica,pink berry
2391,indica,pink bubba
2392,indica,pink champagne
2393,hybrid,pink cookies
2394,indica,pink death star
2395,hybrid,pink hawaiian
2396,hybrid,pink kush
2397,hybrid,pink lemonade
2398,hybrid,pink mango
2399,hybrid,pink panther
2400,indica,pink panties
2401,hybrid,pink pez
2402,hybrid,pink starburst
2403,indica,pink sunset
2404,indica,pinkman goo
2405,sativa,pinot green
2406,hybrid,pirate radio
2407,indica,pitbull
2408,sativa,pia collision
2409,indica,placenta
2410,indica,platinum bubba kush
2411,hybrid,platinum calyx
2412,hybrid,platinum gsc
2413,hybrid,platinum huckleberry cookies
2414,indica,platinum kush
2415,indica,platinum og
2416,sativa,pia collision
2417,indica,placenta
2418,indica,platinum bubba kush
2419,hybrid,platinum calyx
2420,hybrid,platinum gsc
2421,hybrid,platinum huckleberry cookies
2422,indica,platinum kush
2423,indica,platinum og
2424,indica,platinum purple kush
2425,hybrid,platinum sour diesel
2426,hybrid,platinum wreck
2427,hybrid,plum dawg millionaire
2428,indica,plushberry
2429,indica,pluto kush
2430,sativa,poison haze
2431,indica,pokie
2432,sativa,poochie love
2433,hybrid,pop rox
2434,indica,popcorn kush
2435,indica,pot of gold
2436,sativa,powderhound
2437,indica,power kush
2438,sativa,power plant
2439,hybrid,power purps
2440,hybrid,powernap
2441,hybrid,prayer tower
2442,indica,pre 98 bubba kush
2443,hybrid,predator pink
2444,indica,presidential og
2445,indica,prevention
2446,indica,primus
2447,sativa,princess
2448,hybrid,princesss tiara
2449,hybrid,prismatic jack
2450,hybrid,professor chaos
2451,hybrid,project blue book
2452,sativa,proper pho shatter s
2453,indica,puna buddaz
2454,hybrid,puna budder
2455,indica,punky lion
2456,sativa,punto rojo tierra adentro
2457,hybrid,punxsy punch
2458,hybrid,pura vida
2459,indica,pure afghan
2460,indica,pure kush
2461,indica,pure love
2462,indica,pure og
2463,hybrid,pure power plant
2464,hybrid,purple ak 47
2465,indica,purple afghani
2466,hybrid,purple alien og
2467,hybrid,purple animal cookies
2468,hybrid,purple arrow
2469,hybrid,purple aurora
2470,indica,purple berry
2471,hybrid,purple berry skunk
2472,hybrid,purple ak 47
2473,indica,purple afghani
2474,hybrid,purple alien og
2475,hybrid,purple animal cookies
2476,hybrid,purple arrow
2477,hybrid,purple aurora
2478,indica,purple berry
2479,hybrid,purple berry skunk
2480,indica,purple bubba
2481,indica,purple bud
2482,indica,purple buddha
2483,indica,purple bush
2484,indica,purple candy
2485,sativa,purple champagne
2486,indica,purple cheddar
2487,hybrid,purple cheese
2488,indica,purple chemdawg
2489,indica,purple cotton candy
2490,sativa,purple cow
2491,hybrid,purple crack
2492,indica,purple cream
2493,hybrid,purple diesel
2494,hybrid,purple dog shit
2495,indica,purple dragon
2496,hybrid,purple dream
2497,indica,purple elephant
2498,hybrid,purple frost
2499,hybrid,purple glue
2500,hybrid,purple goat
2501,indica,purple goo
2502,hybrid,purple gorilla
2503,indica,purple happy rancher
2504,hybrid,purple hashplant
2505,sativa,purple haze
2506,hybrid,purple headband
2507,indica,purple hindu kush
2508,hybrid,purple ice
2509,hybrid,purple jack
2510,indica,purple killer
2511,indica,purple kush
2512,indica,purple linda
2513,indica,purple martian kush
2514,hybrid,purple maui
2515,indica,purple monkey balls
2516,hybrid,purple moss
2517,indica,purple mr nice
2518,indica,purple nepal
2519,indica,purple og kush
2520,hybrid,purple pantera
2521,indica,purple panty dropper
2522,hybrid,purple paralysis
2523,indica,purple passion
2524,indica,purple people eater
2525,hybrid,purple pie
2526,indica,purple pinecone
2527,sativa,purple power
2528,hybrid,purple pantera
2529,indica,purple panty dropper
2530,hybrid,purple paralysis
2531,indica,purple passion
2532,indica,purple people eater
2533,hybrid,purple pie
2534,indica,purple pinecone
2535,sativa,purple power
2536,hybrid,purple prevention
2537,hybrid,purple princess
2538,indica,purple punch
2539,hybrid,purple raine
2540,hybrid,purple rhino
2541,hybrid,purple sage
2542,hybrid,purple skunk
2543,hybrid,purple sour diesel
2544,indica,purple star
2545,indica,purple swish
2546,sativa,purple tangie
2547,hybrid,purple tears
2548,sativa,purple thai
2549,hybrid,purple tide
2550,indica,purple tonic
2551,hybrid,purple trainwreck
2552,indica,purple urkle
2553,hybrid,purple voodoo
2554,hybrid,purple widow
2555,indica,purple wreck
2556,sativa,q3
2557,hybrid,qleaner
2558,hybrid,qrazy train
2559,hybrid,quad dawg
2560,sativa,quantum kush
2561,hybrid,quebec gold
2562,indica,queen mother goji
2563,hybrid,queens panties
2564,indica,querkle
2565,hybrid,queso
2566,indica,quin n tonic
2567,hybrid,quiver killer kush
2568,indica,qush
2569,hybrid,r 4
2570,hybrid,rks
2571,hybrid,race fuel og
2572,sativa,rafael
2573,hybrid,rainbow
2574,indica,rainbow jones
2575,hybrid,raindance
2576,hybrid,ramses
2577,indica,rare dankness 1
2578,indica,rare darkness
2579,hybrid,raskal og
2580,sativa,raspberry cough
2581,hybrid,raspberry diesel
2582,indica,raspberry kush
2583,hybrid,raspberry tart
2584,hybrid,ramses
2585,indica,rare dankness 1
2586,indica,rare darkness
2587,hybrid,raskal og
2588,sativa,raspberry cough
2589,hybrid,raspberry diesel
2590,indica,raspberry kush
2591,hybrid,raspberry tart
2592,hybrid,raw diesel
2593,indica,ray charles
2594,hybrid,rebel berry og
2595,sativa,rebel god smoke
2596,sativa,rebel tangie kandy
2597,indica,reclining buddha
2598,indica,recon
2599,hybrid,red cherry berry
2600,sativa,red congolese
2601,hybrid,red diesel
2602,hybrid,red dragon
2603,indica,red dwarf
2604,indica,red eye og
2605,sativa,red haze
2606,sativa,red headed stranger
2607,hybrid,red poison
2608,hybrid,red rhino
2609,hybrid,red velvet pie
2610,hybrid,red widow
2611,hybrid,redd cross
2612,hybrid,redding og
2613,indica,redwood kush
2614,indica,remedy
2615,hybrid,remo chemo
2616,hybrid,rene
2617,hybrid,rene mist
2618,hybrid,revival
2619,hybrid,richie rich
2620,hybrid,riddler og
2621,sativa,ridge berry
2622,indica,rigger kush
2623,hybrid,ringos gift
2624,indica,rip city purps
2625,hybrid,ripped bubba
2626,hybrid,rise n shine
2627,hybrid,river song
2628,hybrid,road dawg
2629,hybrid,rob ford kush
2630,sativa,robert plant
2631,indica,rockbud
2632,hybrid,rocket fuel
2633,indica,rocklock
2634,indica,rockstar
2635,indica,rockstar kush
2636,indica,rockstar master kush
2637,hybrid,rocky dennis
2638,indica,rocky mountain blueberry
2639,hybrid,rocky mountain high
2640,hybrid,rocket fuel
2641,indica,rocklock
2642,indica,rockstar
2643,indica,rockstar kush
2644,indica,rockstar master kush
2645,hybrid,rocky dennis
2646,indica,rocky mountain blueberry
2647,hybrid,rocky mountain high
2648,indica,rollex og kush
2649,hybrid,rolls choice
2650,hybrid,romping goddess
2651,indica,romulan
2652,hybrid,romulan grapefruit
2653,hybrid,romulan haze
2654,sativa,root beer kush
2655,indica,rose bud
2656,hybrid,royal chemdawg
2657,hybrid,royal dwarf
2658,sativa,royal haze
2659,hybrid,royal highness
2660,hybrid,royal kush
2661,sativa,royal salute
2662,hybrid,royal tree sherbet
2663,hybrid,roz
2664,hybrid,rubicon
2665,hybrid,rudeboi og
2666,hybrid,rug burn og
2667,indica,russian assassin
2668,sativa,russian doll
2669,hybrid,russian rocket fuel
2670,indica,russian roulette
2671,hybrid,sage
2672,hybrid,sage walker
2673,hybrid,sfv dog
2674,hybrid,sfv og
2675,indica,sfv og kush
2676,sativa,sour land
2677,hybrid,safety meeting
2678,sativa,sage n sour
2679,indica,salmon river og
2680,hybrid,samoa kush
2681,sativa,santa maria
2682,sativa,santa sativa
2683,hybrid,sapphire cherries
2684,hybrid,sapphire scout
2685,hybrid,sapphire star
2686,hybrid,sasquatch sap
2687,indica,satellite og
2688,hybrid,satori
2689,hybrid,satsuma
2690,hybrid,saturn og
2691,hybrid,savage citrus sunshine
2692,hybrid,savants grail
2693,sativa,schrom
2694,hybrid,scooby snack
2695,hybrid,scotts og
2696,hybrid,satori
2697,hybrid,satsuma
2698,hybrid,saturn og
2699,hybrid,savage citrus sunshine
2700,hybrid,savants grail
2701,sativa,schrom
2702,hybrid,scooby snack
2703,hybrid,scotts og
2704,hybrid,scouts honor
2705,hybrid,scroopy noopers
2706,indica,seattle blue
2707,sativa,seattle cough
2708,hybrid,seattle summer
2709,hybrid,seattlesoda
2710,indica,secret garden og
2711,hybrid,secret recipe
2712,indica,sensi skunk
2713,indica,sensi star
2714,sativa,sequoia strawberry
2715,hybrid,sergerbloom haze
2716,sativa,serious 6
2717,hybrid,serious happiness
2718,indica,sexxpot
2719,sativa,shaman
2720,hybrid,shamans dream
2721,hybrid,shangri la
2722,indica,shark attack
2723,hybrid,shark bite
2724,indica,shark shock
2725,hybrid,sharks breath
2726,hybrid,sunset sherbert
2727,hybrid,shiatsu kush
2728,sativa,shining silver haze
2729,sativa,shipwreck
2730,indica,shishkaberry
2731,hybrid,shiskaquine
2732,indica,shiva skunk
2733,hybrid,shoreline
2734,hybrid,shurman
2735,hybrid,siddharthas dream
2736,hybrid,sidetracked
2737,hybrid,sierra mist
2738,hybrid,silver back
2739,hybrid,silver bubble
2740,hybrid,silver calyx
2741,hybrid,silver cindy
2742,sativa,silver haze
2743,sativa,silver kush
2744,hybrid,silver mountain
2745,hybrid,silver nina
2746,hybrid,silver pearl
2747,hybrid,silver surfer
2748,sativa,silver train
2749,indica,silverback gorilla
2750,hybrid,silverfalls kush
2751,sativa,silverhawks og
2752,hybrid,silver mountain
2753,hybrid,silver nina
2754,hybrid,silver pearl
2755,hybrid,silver surfer
2756,sativa,silver train
2757,indica,silverback gorilla
2758,hybrid,silverfalls kush
2759,sativa,silverhawks og
2760,indica,sin city kush
2761,hybrid,sin valley og
2762,hybrid,sinmint cookies
2763,sativa,sinai
2764,indica,sirius black
2765,hybrid,gg 1
2766,hybrid,six shooter
2767,hybrid,sizzurp
2768,hybrid,skins skunk
2769,indica,skunk 47
2770,sativa,skunk dawg
2771,hybrid,skunk haze
2772,hybrid,skunk 1
2773,indica,skunk plus
2774,hybrid,skunkberry
2775,hybrid,skunky diesel
2776,hybrid,sky lotus
2777,sativa,sky master
2778,indica,skydog
2779,hybrid,skywalker alien
2780,sativa,slazerbeam
2781,sativa,sleeskunk
2782,sativa,sleestack
2783,hybrid,slice of heaven
2784,hybrid,slimer og
2785,hybrid,slurpie
2786,hybrid,smelliot
2787,hybrid,smooth operator
2788,indica,snoop dogg og
2789,hybrid,snoop s dream
2790,hybrid,snow bud
2791,hybrid,snow diesel
2792,hybrid,snow goddess
2793,indica,snow leopard
2794,hybrid,snow lotus
2795,indica,snow monster
2796,indica,snow mountain
2797,indica,snow ryder
2798,hybrid,snow white
2799,hybrid,snowland
2800,hybrid,snowcap
2801,sativa,sojay haze
2802,hybrid,solos stash
2803,indica,somango
2804,sativa,sonic screwdriver
2805,sativa,sonoma coma
2806,hybrid,soraya
2807,hybrid,sorbet 4
2808,hybrid,snowcap
2809,sativa,sojay haze
2810,hybrid,solos stash
2811,indica,somango
2812,sativa,sonic screwdriver
2813,sativa,sonoma coma
2814,hybrid,soraya
2815,hybrid,sorbet 4
2816,hybrid,sorbet dreams
2817,hybrid,sorbet stash
2818,hybrid,sorbetto
2819,hybrid,sorcerers apprentice
2820,hybrid,soul assassin og
2821,hybrid,soul shine
2822,indica,soulshine aloha
2823,hybrid,sour alien
2824,sativa,sour amnesia
2825,indica,sour ape
2826,hybrid,sour apple
2827,hybrid,sour banana sherbet
2828,hybrid,sour blueberry
2829,hybrid,sour boggle
2830,sativa,sour breath
2831,indica,sour bubba
2832,indica,sour bubble
2833,hybrid,sour candy
2834,hybrid,sour chees
2835,hybrid,sour cherry sherbert
2836,sativa,sour chocolate
2837,hybrid,sour chunk
2838,hybrid,sour cookies
2839,hybrid,sour cream
2840,sativa,sour diesel
2841,hybrid,sour dream
2842,hybrid,sour dubble
2843,sativa,sour flower
2844,hybrid,sour grape
2845,sativa,sour haze
2846,hybrid,sour headband
2847,sativa,sour jack
2848,hybrid,sour jilly
2849,sativa,sour joker
2850,hybrid,sour kosher
2851,hybrid,sour kush
2852,hybrid,sour lsd
2853,hybrid,sour lemon og
2854,hybrid,sour lemons
2855,hybrid,sour lifesavers
2856,sativa,sour maui
2857,hybrid,sour og
2858,hybrid,sour patch kiss
2859,sativa,sour pebbles
2860,sativa,sour poison
2861,hybrid,sour power
2862,hybrid,sour power og
2863,hybrid,sour sorbet
2864,sativa,sour maui
2865,hybrid,sour og
2866,hybrid,sour patch kiss
2867,sativa,sour pebbles
2868,sativa,sour poison
2869,hybrid,sour power
2870,hybrid,sour power og
2871,hybrid,sour sorbet
2872,hybrid,sour space candy
2873,indica,sour spyder
2874,sativa,sour star head
2875,hybrid,sour strawberry
2876,hybrid,sour strawberry diesel
2877,hybrid,sour sunset
2878,sativa,sour tangie
2879,hybrid,sour tsunami
2880,hybrid,sour urkle
2881,sativa,sour willie
2882,sativa,sourlope
2883,sativa,south american
2884,indica,south asian
2885,sativa,south asian sativa
2886,indica,south central la
2887,indica,south indian indica
2888,sativa,south indian
2889,sativa,southern lights
2890,hybrid,space bomb
2891,hybrid,space cake
2892,hybrid,space candy
2893,hybrid,space cream
2894,indica,space dawg
2895,sativa,space jill
2896,indica,space monster
2897,sativa,space needle
2898,hybrid,space poison
2899,hybrid,space queen
2900,hybrid,special k
2901,indica,special kush 1
2902,hybrid,special sauce
2903,hybrid,spicy disco
2904,hybrid,spiked punch
2905,hybrid,spirit of 76
2906,sativa,spliffs strawberry
2907,indica,spoetnik 1
2908,hybrid,spumoni
2909,sativa,sputnik
2910,hybrid,spyder mon
2911,hybrid,star 47
2912,indica,star berry
2913,indica,star killer
2914,indica,star master kush
2915,hybrid,star pupil
2916,hybrid,star tonic
2917,indica,starbud
2918,hybrid,stardawg
2919,indica,stardawg 91
2920,indica,star berry
2921,indica,star killer
2922,indica,star master kush
2923,hybrid,star pupil
2924,hybrid,star tonic
2925,indica,starbud
2926,hybrid,stardawg
2927,indica,stardawg 91
2928,sativa,stardawg guava
2929,hybrid,starfighter
2930,hybrid,starman
2931,hybrid,starry night
2932,hybrid,stashsquatch
2933,sativa,stella blue
2934,indica,stephen hawking kush
2935,hybrid,stevie wonder
2936,hybrid,stinky pete
2937,hybrid,stoopid fruits
2938,sativa,straight as haze
2939,hybrid,strange brew
2940,hybrid,strawberries cream
2941,sativa,strawberry
2942,hybrid,strawberry alien kush
2943,sativa,strawberry amnesia
2944,hybrid,strawberry banana
2945,sativa,strawberry blonde
2946,hybrid,strawberry blondie
2947,sativa,strawberry blue
2948,indica,strawberry cheesecake
2949,sativa,strawberry cough
2950,hybrid,strawberry diesel
2951,hybrid,strawberry dream
2952,sativa,strawberry durban diesel
2953,indica,strawberry fields
2954,indica,strawberry frost
2955,sativa,strawberry ice
2956,hybrid,strawberry kush
2957,sativa,strawberry lemonade
2958,sativa,strawberry mango haze
2959,hybrid,strawberry milkshake
2960,hybrid,strawberry og
2961,sativa,strawberry satori
2962,indica,strawberry shortcake
2963,hybrid,strawberry snow cone
2964,hybrid,strawberry sorbet
2965,sativa,sublime
2966,indica,sugar black rose
2967,hybrid,sugar breath
2968,hybrid,sugar calyx
2969,hybrid,sugar cookie
2970,indica,sugar kush
2971,indica,sugar mama
2972,hybrid,sugar pine
2973,sativa,sugar plum
2974,indica,joliet jake
2975,hybrid,sugar punch
2976,hybrid,sugar calyx
2977,hybrid,sugar cookie
2978,indica,sugar kush
2979,indica,sugar mama
2980,hybrid,sugar pine
2981,sativa,sugar plum
2982,indica,joliet jake
2983,hybrid,sugar punch
2984,hybrid,sugar shack
2985,hybrid,suicide girl
2986,hybrid,summer breeze
2987,sativa,summertime squeeze
2988,sativa,sumo grande
2989,indica,sumo og kush
2990,sativa,sun ra
2991,sativa,sunburn
2992,hybrid,sundae driver
2993,hybrid,sunlight skunk
2994,hybrid,sunny d
2995,indica,sunset
2996,hybrid,sunset fire
2997,hybrid,sunset haze
2998,sativa,sunshine
2999,hybrid,sunshine 4
3000,indica,sunshine daydream
3001,sativa,supa don
3002,indica,super chronic
3003,hybrid,super blue dream
3004,indica,super bud
3005,sativa,super cat piss
3006,indica,super cheese
3007,sativa,super g
3008,hybrid,super glu
3009,sativa,super green crack
3010,sativa,super jack
3011,indica,super kush
3012,sativa,super lemon haze
3013,hybrid,super lemon og
3014,hybrid,super silver bullet
3015,hybrid,super silver hash plant
3016,sativa,super silver haze
3017,hybrid,super silver lights
3018,indica,super skunk
3019,sativa,super snow dog
3020,hybrid,super snow lotus
3021,sativa,super sour diesel
3022,hybrid,super sour lemon
3023,hybrid,super sour og
3024,hybrid,super sour skunk
3025,hybrid,super sour widow
3026,hybrid,super sweet
3027,indica,supergirl
3028,hybrid,superglue
3029,indica,superman og
3030,hybrid,supermax og
3031,sativa,supernatural
3032,hybrid,super sour skunk
3033,hybrid,super sour widow
3034,hybrid,super sweet
3035,indica,supergirl
3036,hybrid,superglue
3037,indica,superman og
3038,hybrid,supermax og
3039,sativa,supernatural
3040,hybrid,supernova
3041,hybrid,superstar
3042,hybrid,suver haze
3043,hybrid,suzy q
3044,sativa,swazi gold
3045,hybrid,sweet sour cindy
3046,sativa,sweet amnesia haze
3047,indica,sweet baby jane
3048,hybrid,sweet berry
3049,indica,sweet black angel
3050,sativa,sweet cheese
3051,hybrid,sweet cindy
3052,indica,sweet deep grapefruit
3053,sativa,sweet diesel
3054,hybrid,sweet dream
3055,hybrid,sweet dreams
3056,indica,sweet dreams b44e9f5d217a4d5eba9365ffa0047a94
3057,hybrid,sweet harlem diesel
3058,hybrid,sweet hawaiian tangie banana
3059,sativa,sweet jane
3060,sativa,sweet jesus
3061,hybrid,sweet kush
3062,indica,sweet lafayette
3063,hybrid,sweet nina
3064,hybrid,sweet pebbles
3065,hybrid,sweet pure cbd
3066,hybrid,sweet skunk
3067,indica,sweet tooth
3068,hybrid,sweet valley kush
3069,indica,sweet and sour widow
3070,hybrid,sweeties
3071,hybrid,swiss bliss
3072,sativa,swiss gold
3073,indica,swiss
3074,sativa,swiss sativa
3075,sativa,swiss tsunami
3076,hybrid,thc bomb
3077,hybrid,tjs cbd
3078,hybrid,tachllta till
3079,hybrid,tahoe alien
3080,hybrid,tahoe frostbite
3081,hybrid,tahoe hydro champagne
3082,hybrid,tahoe hydro og
3083,hybrid,tahoe og
3084,indica,tahoe purps
3085,indica,taliban poison
3086,hybrid,tangelo
3087,hybrid,tangelo kush
3088,hybrid,tahoe frostbite
3089,hybrid,tahoe hydro champagne
3090,hybrid,tahoe hydro og
3091,hybrid,tahoe og
3092,indica,tahoe purps
3093,indica,taliban poison
3094,hybrid,tangelo
3095,hybrid,tangelo kush
3096,hybrid,tangenesia
3097,hybrid,tangerine
3098,hybrid,tangerine dream
3099,hybrid,tangerine haze
3100,indica,tangerine kush
3101,sativa,tangerine man
3102,hybrid,tangerine power
3103,sativa,tangerine sunrise
3104,sativa,tangerine trainwreck haze
3105,sativa,tangie
3106,hybrid,tangie biscotti
3107,sativa,tangie cookies
3108,hybrid,tangie dream
3109,sativa,tangie ghost train
3110,hybrid,tangie sunrise
3111,hybrid,tangier chilly
3112,sativa,tangilope
3113,hybrid,tango kush
3114,sativa,tardis
3115,hybrid,tarmonster
3116,hybrid,tembo kush
3117,indica,terminator og
3118,hybrid,tesla
3119,sativa,tesla tower
3120,sativa,thai
3121,hybrid,thai fantasy
3122,hybrid,thai girl
3123,sativa,thai haze
3124,hybrid,thai lights
3125,sativa,thai tanic
3126,hybrid,thaidal wave
3127,hybrid,the big dirty
3128,indica,the black
3129,hybrid,the bling
3130,hybrid,the blintz
3131,sativa,the blood
3132,hybrid,the boss
3133,hybrid,the brotherhood
3134,hybrid,the cbg blend
3135,sativa,the cough
3136,indica,the doctor
3137,hybrid,the flav
3138,hybrid,the forbidden candy
3139,sativa,the fork
3140,hybrid,the fuzz
3141,hybrid,the gift
3142,hybrid,the grunk
3143,hybrid,the guice
3144,indica,the doctor
3145,hybrid,the flav
3146,hybrid,the forbidden candy
3147,sativa,the fork
3148,hybrid,the fuzz
3149,hybrid,the gift
3150,hybrid,the grunk
3151,hybrid,the guice
3152,indica,hog
3153,hybrid,the lime
3154,indica,the loops
3155,indica,the ox
3156,hybrid,the one
3157,indica,the ooze
3158,hybrid,the original lemonnade
3159,hybrid,the real mccoy
3160,hybrid,the sauce
3161,hybrid,the sheriff
3162,indica,the sister
3163,hybrid,the third dimension
3164,hybrid,the truth
3165,hybrid,the vision
3166,hybrid,the void
3167,hybrid,the white
3168,hybrid,the white angel
3169,hybrid,the wife
3170,hybrid,the wills
3171,hybrid,thelonious skunk
3172,hybrid,thin mint
3173,hybrid,think different
3174,sativa,thors hammer
3175,hybrid,three blue kings
3176,indica,throwback kush
3177,sativa,thunderbird rose
3178,sativa,thunderstruck
3179,hybrid,tickle kush
3180,hybrid,tiger woods
3181,indica,tigers milk
3182,indica,tigermelon
3183,hybrid,tillamook strawberry
3184,sativa,timewreck
3185,indica,tina
3186,hybrid,tina danza
3187,sativa,titans haze
3188,hybrid,tokyo og
3189,hybrid,tommys home grown
3190,indica,tonics web
3191,indica,tora bora
3192,hybrid,toxic
3193,hybrid,toxic punch
3194,indica,training day
3195,hybrid,trainwreck
3196,indica,tranquil elephantizer remix
3197,hybrid,transformer
3198,indica,trap star
3199,hybrid,trash
3200,hybrid,toxic
3201,hybrid,toxic punch
3202,indica,training day
3203,hybrid,trainwreck
3204,indica,tranquil elephantizer remix
3205,hybrid,transformer
3206,indica,trap star
3207,hybrid,trash
3208,hybrid,travel joint
3209,hybrid,treasure island
3210,hybrid,tree of life
3211,hybrid,tres dawg
3212,hybrid,trewbacca
3213,indica,triangle kush
3214,hybrid,trident
3215,hybrid,trifecta
3216,sativa,trinity
3217,indica,triple cheese
3218,sativa,triple diesel
3219,hybrid,triple scoop
3220,sativa,trix
3221,hybrid,trophy wife
3222,hybrid,tropic thunder
3223,hybrid,tropical tang
3224,hybrid,tropicali
3225,sativa,tropicana cookies
3226,hybrid,tropicana punch
3227,hybrid,true face
3228,hybrid,true love
3229,indica,true og
3230,indica,true x
3231,indica,trueberry
3232,indica,truffle butter
3233,hybrid,truffula tree
3234,hybrid,truth serum
3235,indica,tuna kush
3236,hybrid,tuna og
3237,hybrid,turbo mind warp
3238,sativa,tutankhamon
3239,hybrid,tutti frutti
3240,sativa,twista
3241,sativa,twisted citrus
3242,hybrid,two beards
3243,indica,tyson
3244,indica,u2 kush
3245,hybrid,uk cheese
3246,indica,uw
3247,sativa,ultimate trainwreck
3248,indica,ultra banana
3249,hybrid,ultra sonja
3250,sativa,ultra sour
3251,indica,ultraviolet og
3252,hybrid,urkle train haze
3253,hybrid,vcdc
3254,hybrid,az super sour og
3255,indica,vader og
3256,indica,ultra banana
3257,hybrid,ultra sonja
3258,sativa,ultra sour
3259,indica,ultraviolet og
3260,hybrid,urkle train haze
3261,hybrid,vcdc
3262,hybrid,az super sour og
3263,indica,vader og
3264,hybrid,valentine x
3265,hybrid,valley ghash
